model_type,epoch,num_layers,max_length,hidden_size,batch_size,learning_rate,acc,f1_score,recall,precision
bert_cnn,8,1,128,128,32,0.0001,0.9225,0.9015940182583589,0.9076806591113517,0.8974087685519428
bert_cnn,8,1,256,128,32,0.001,0.275,0.07189542483660132,0.16666666666666666,0.04583333333333334
bert_cnn,8,1,64,128,64,0.0001,0.9205,0.902380552177077,0.9141398412244923,0.8921239647764021
bert_cnn,8,1,128,128,64,0.001,0.644,0.48171380249957685,0.4919495525642102,0.615647192808569
bert_cnn,8,1,64,128,64,0.001,0.6285,0.4199288273095665,0.4603497285589982,0.4244425973226941
bert_cnn,8,1,64,128,32,0.0001,0.9215,0.8956292699663179,0.8872586799991371,0.9098466193107951
bert_cnn,8,1,256,128,64,0.001,0.6655,0.43580949495676374,0.4663391580903373,0.4219690173597001
bert_cnn,8,1,64,128,32,0.001,0.6605,0.4608692172316921,0.4871439438105884,0.48655645290761546
bert_cnn,8,1,256,128,32,0.0001,0.8925,0.8652447606225878,0.8673188034801173,0.8644060522712885
bert_cnn,8,1,128,128,32,0.001,0.6055,0.4239180305375658,0.4466916962527623,0.4602558230729404
bert_cnn,8,1,128,128,64,0.0001,0.9175,0.8883781686320981,0.8914743016261756,0.8887711298152725
